848,Chun Wai Chan,performing arts,20-30,Principal dancer with New York City Ballet,@chunner,null,null,null
322,Yayoi Kusama,visual arts,null,polka dot enthusiast,@yayoikusama,null,null,null
603,Victo Ngai,visual arts,null,LA based artist from Hong Kong,@victongai,https://www.facebook.com/VictoNgaiArt?fref=ts,https://victo-ngai.com/work,null
527,"Rami Kim","artisans","$80-$1,500","Rami Kim is an artist and ceramicist based in Los Angeles. She studied animation at the California Institute of the Arts (Cal Arts) and UCLA. Rami creates enchanting ceramic pieces that blur the line between sculpture and functionality. With her background in animation, her work is whimsical and poetic. Inspired by organic shapes, feelings, simplicity, space and people, her creations come to life.","@ramikimstudio","https://www.facebook.com/ramikimstudio/","https://www.ramikimstudio.com/","null"
449,"Brightland","artisans","$20-$200","Brightland makes artfully and consciously-crafted olive oils, vinegars and honeys that infuse the everyday with a little bit of happiness.","null","null","https://brightland.co/","null"
184,"Asian American Girl Club","artisans","$20-$70","With the growing representation of Asian Americans in media, we believe it’s important to create visibility across all media types -including what we wear. AAGC is the brand we wished we had as a kid. The one that was invisible from the marketplace. We are here now to make you feel included, celebrated and seen- all while looking fashionably you.  Let's get you feeling powerful from the inside out. :)","@asianamericangirlclub","https://www.facebook.com/asianamericangirlclub/","https://asianamericangirlclub.com/","null"
548,"Kazuo Ishiguro","literary arts","null","Kazuo Ishiguro is a Japanese-British novelist, screenwriter, musician, and short-story writer. He is one of the most critically acclaimed and praised contemporary fiction authors writing in English, having been awarded the 2017 Nobel Prize in Literature.","null","null","https://www.goodreads.com/author/show/4280.Kazuo_Ishiguro","null"
